checkpoint,model_type,device,batch_size,seq_len,prompt_len,gen_len,kv_cache,warmup_iters,measure_iters,prefill_avg_ms_per_batch,prefill_tokens_per_sec,decode_avg_ms_per_run,decode_tokens_per_sec,bytes_per_elem,kv_heads,dim_head,cache_len_end,selected_tokens_per_query,kv_cache_full_bytes,kv_cache_sparse_bytes,kv_cache_saving_ratio
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,sparse_conv,cuda,1,512,409,103,1,1,3,27.185834248860676,15044.599928624248,2076.1668294270835,49.610656783502684,4,4,64,512,68,1048576,139264,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,sparse_mlp,cuda,1,512,409,103,1,1,3,27.9729487101237,14621.268720661496,2065.8927408854165,49.8573802799924,4,4,64,512,68,1048576,139264,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,sparse_attn,cuda,1,512,409,103,1,1,3,27.635030110677082,14800.056246075106,2064.7120768229165,49.88589021985653,4,4,64,512,68,1048576,139264,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,sparse_mean,cuda,1,512,409,103,1,1,3,25.481557210286457,16050.824391332484,2042.7428385416667,50.422401712362706,4,4,64,512,68,1048576,139264,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,full,cuda,1,512,409,103,1,1,3,9.974784215291342,41003.39327371143,1131.1073404947917,91.06120728996743,4,4,64,512,68,1048576,139264,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,sparse_conv,cuda,8,512,409,103,1,1,3,31.267499287923176,104645.40095996049,2121.345703125,388.4326815691322,4,4,64,512,68,8388608,1114112,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,sparse_mlp,cuda,8,512,409,103,1,1,3,30.827178955078125,106140.104638443,2109.1822916666665,390.67272812577943,4,4,64,512,68,8388608,1114112,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,sparse_attn,cuda,8,512,409,103,1,1,3,35.808939615885414,91373.83109072821,2555.3636067708335,322.45900263143915,4,4,64,512,68,8388608,1114112,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,sparse_mean,cuda,8,512,409,103,1,1,3,34.24803161621094,95538.33740480531,2523.3533528645835,326.54958888915473,4,4,64,512,68,8388608,1114112,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,full,cuda,8,512,409,103,1,1,3,10.227711995442709,319915.148320362,1152.1446940104167,715.1879484266844,4,4,64,512,68,8388608,1114112,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,sparse_conv,cuda,16,512,409,103,1,1,3,39.63323720296224,165113.94127328295,2571.939453125,640.7615848023249,4,4,64,512,68,16777216,2228224,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,sparse_mlp,cuda,16,512,409,103,1,1,3,39.86807505289713,164141.35850094073,2512.3307291666665,655.9645913126403,4,4,64,512,68,16777216,2228224,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,sparse_attn,cuda,16,512,409,103,1,1,3,39.5069325764974,165641.81456833764,2113.2311197916665,779.8484437246354,4,4,64,512,68,16777216,2228224,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,sparse_mean,cuda,16,512,409,103,1,1,3,37.97265116373698,172334.55656763233,2559.4384765625,643.8912343825417,4,4,64,512,68,16777216,2228224,0.8671875
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,full,cuda,16,512,409,103,1,1,3,12.732757568359375,513949.94091945153,950.8157552083334,1733.2485194662204,4,4,64,512,68,16777216,2228224,0.8671875
